project,sub-space_count,same_isolated_count,0~10%,10%~20%,20%~30%,30%~40%,40~50%,50%~60%,60%~70%,70%~80%,80%-90%,90%-100%
airavata-django-portal,268,194,0,2,1,1,2,1,1,6,5,55
airflow,897,497,15,7,5,14,17,10,23,15,23,271
allura,543,349,8,12,9,9,11,6,16,14,9,100
ansible,4097,3083,195,20,18,22,26,20,28,18,31,636
astroquery,377,234,3,2,3,2,1,2,4,5,4,117
bitbake,239,130,11,4,15,7,19,3,4,6,0,40
boto,723,361,9,9,16,29,31,23,35,37,23,150
calibre,1352,335,93,57,39,68,89,51,62,78,52,428
cassandra-dtest,147,112,3,0,0,0,2,0,1,2,2,25
celery,344,175,29,9,9,15,15,12,12,8,5,55
cerbero,110,53,4,3,0,1,3,4,6,2,5,29
certbot,320,199,7,3,3,3,7,4,5,7,1,81
ChatterBot,132,94,2,0,1,2,0,1,1,2,1,28
cheetah,63,18,2,3,1,4,1,0,3,4,2,25
cherrypy,109,63,7,5,1,4,3,2,3,2,3,16
cobbler,131,86,15,8,2,2,4,1,1,0,1,11
codespeed,46,29,0,0,0,1,1,1,0,0,0,14
deluge,292,115,12,16,11,13,28,10,11,3,6,67
django,2470,1655,28,15,16,22,39,18,55,72,47,503
django-rest-framework,149,81,7,2,3,3,8,5,12,5,5,18
docutils,271,202,9,7,1,2,7,1,3,6,5,28
dymos,260,145,1,2,0,1,4,2,0,2,5,98
fail2ban,82,17,3,2,3,5,7,3,5,3,5,29
fluo-muchos,9,5,0,0,0,0,0,1,0,0,1,2
gajim,231,52,55,12,13,10,21,9,12,4,6,37
gensim,125,36,5,3,1,6,11,2,3,4,3,51
glance,106,56,4,2,2,2,3,0,3,5,1,28
gpodder,105,55,17,5,3,5,5,1,0,0,1,13
gramps,1148,317,76,33,29,52,68,40,66,66,27,374
gunicorn,148,114,5,3,1,2,2,3,4,2,1,11
home-assistant,2537,1708,99,21,13,14,45,16,29,42,52,498
horizon,1018,570,29,11,10,19,19,8,18,21,17,296
infrastructure-puppet,88,65,4,1,0,0,0,0,1,0,1,16
ipython,350,191,7,11,9,7,15,5,13,21,6,65
jumpgate,116,62,0,0,1,1,2,0,1,3,0,46
KaraKara,105,58,2,1,0,3,2,0,2,2,5,30
keras,183,106,2,2,3,1,4,1,7,4,4,49
kibble,70,66,2,0,0,0,0,0,0,0,0,2
libcloud,698,478,5,3,3,7,5,3,5,11,14,164
linkchecker,278,123,10,8,5,6,15,8,3,13,6,81
matplotlib,860,695,13,5,9,8,17,16,14,6,8,69
mitmproxy,537,324,19,8,9,15,8,11,22,16,7,98
models,1530,742,39,28,24,39,29,14,31,19,22,543
mwlib,149,83,9,5,3,6,2,1,8,5,3,24
mypaint,138,17,8,12,7,5,8,5,12,12,9,43
networkx,540,454,16,0,3,0,4,1,1,1,0,60
nltk,345,261,80,0,0,0,1,1,0,0,0,2
nose,333,258,6,1,0,3,6,2,6,2,9,40
offlineimap,61,21,5,4,1,6,1,2,1,1,0,19
OpenMDAO-Framework,635,355,21,6,6,13,12,11,14,29,22,146
pandas,804,666,86,4,4,4,3,1,1,10,0,25
picard,179,48,15,5,5,5,11,9,8,7,4,62
pip,456,238,37,6,2,6,21,10,8,10,11,107
pipenv,818,191,15,14,8,12,35,15,27,50,42,409
pitivi,97,36,11,10,5,7,5,5,3,1,2,12
pitivi-pitivi,97,36,13,7,8,3,7,6,5,2,1,9
poky,547,327,25,20,12,15,21,7,14,12,8,86
PyChecker,195,139,5,4,2,2,5,1,4,3,3,27
pygments-main,263,253,8,0,0,0,0,0,0,0,0,2
pylint,603,512,14,5,3,0,4,0,5,7,1,52
pyramid,495,336,18,3,3,5,10,11,4,4,2,99
pyspider,103,35,2,3,1,2,12,1,3,4,1,39
pytest,172,121,9,9,3,3,3,2,2,1,1,18
pythondotorg,349,265,2,0,4,2,2,0,2,1,2,69
python-fire,45,27,0,0,0,0,0,1,1,1,0,15
python-patterns,69,46,2,1,0,1,0,0,0,0,0,19
pytorch,925,504,18,8,11,14,19,12,16,26,39,258
pyunit-1.4.1,28,22,0,0,0,1,0,0,0,0,0,5
pywikibot,290,191,23,5,6,9,6,4,7,9,0,30
ranger,109,39,14,9,4,4,6,2,5,3,2,21
reviewboard,770,493,20,8,2,17,18,12,24,34,15,127
sage,2324,605,57,47,42,60,114,63,97,160,138,941
scikit-image,497,336,2,1,1,1,3,4,5,6,1,137
scikit-learn,740,506,10,3,5,4,7,2,4,14,18,167
scipy,669,383,10,6,8,7,3,10,15,24,17,186
scrapy,292,145,14,5,5,7,4,6,13,9,9,75
sentry,2280,1411,22,9,14,25,57,31,43,61,63,544
shinken,367,261,15,5,11,12,12,9,4,2,6,30
softlayer-python,425,365,9,5,3,3,1,0,2,2,1,34
sphinx,435,300,7,3,3,6,8,5,8,18,8,69
sqlalchemy,462,250,32,10,9,15,18,13,24,15,9,67
sqlmap,442,192,8,13,1,10,6,0,4,6,15,187
sqlparse,36,19,2,0,1,0,0,1,0,1,0,12
stewbot,133,46,4,2,3,1,9,6,6,5,6,45
sugar,211,87,15,4,5,7,12,3,7,11,5,55
Sunflower,111,24,10,7,5,9,17,6,1,2,0,30
sympy,1299,724,16,13,6,8,19,10,27,44,76,356
tashi,110,45,5,5,0,6,3,3,1,7,8,27
tensorflow,2921,1714,17,6,18,14,34,26,44,64,94,890
Theano,209,68,5,1,2,2,6,3,11,15,11,85
the-blue-alliance,542,219,3,2,1,3,11,4,19,16,17,247
thefuck,359,183,1,1,0,0,2,1,2,2,2,165
tornado,112,74,0,0,3,4,0,2,3,5,4,17
trac,328,112,11,3,4,8,16,6,12,18,5,133
tryton,120,21,9,6,3,7,9,6,6,4,8,41
trytond,212,77,9,8,2,17,9,8,9,8,0,65
twisted,1117,593,58,6,15,20,24,27,32,52,44,246
voc,182,161,1,1,1,0,3,1,2,7,1,4
web2py,396,232,17,6,5,5,11,3,8,12,6,91
weblate,541,302,9,1,9,5,13,7,19,18,14,144
werkzeug,146,66,3,3,2,2,6,3,4,10,6,41
WikiApiary,68,41,0,0,0,1,0,0,0,0,1,25
XX-Net,1080,460,22,22,17,27,40,24,34,32,33,369
Zope,333,194,12,6,4,8,3,8,14,18,12,54
zulip,949,708,8,3,3,7,11,4,11,29,27,138
